점포명,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,여성안심지킴이집전화번호,관할경찰서명,지정년도,운영여부,데이터기준일자
CU 마장현대점,서울특별시,성동구,11200,서울특별시 성동구 마장로39길 36,서울특별시 성동구 마장동 768-1번지 안민빌딩 109호,37.5681091,127.043625,02-2281-0900,성동경찰서,,Y,2019-06-03
CU 성동금호점,서울특별시,성동구,11200,서울특별시 성동구 장터길 34,서울특별시 성동구 금호동4가 1192,37.548142,127.0195978,02-2298-3760,성동경찰서,,Y,2019-06-03
CU 성동신한점,서울특별시,성동구,11200,서울특별시 성동구 고산자로 269,서울특별시 성동구 도선동 14번지 신한넥스텔 102호,37.563648,127.0357573,02-2281-7230,성동경찰서,,Y,2019-06-03
CU 왕십리도선점,서울특별시,성동구,11200,서울특별시 성동구 무학로2길 41,서울특별시 성동구 도선동 148번지 외 2필지,37.562827,127.034361,02-2295-7230,성동경찰서,,Y,2019-06-03
CU 왕십리한양점,서울특별시,성동구,11200,서울특별시 성동구 마조로1길 32,서울특별시 성동구 행당동 4-11번지,37.5602017,127.039466,02-2281-5521,성동경찰서,,Y,2019-06-03
CU 금호두산점,서울특별시,성동구,11200,서울특별시 성동구 행당동 35,서울특별시 성동구 금호1가동128-1번지,37.557009,127.043695,02-2295-2850,성동경찰서,,Y,2019-06-03
GS25 성수햇살점,서울특별시,성동구,11200,서울특별시 성동구 성덕정길 128,서울특별시 성동구 성수2가1동 223-11,37.536491,127.0575707,02-2205-5337,성동경찰서,,Y,2019-06-03
GS25 한양여대점,서울특별시,성동구,11200,서울특별시 성동구 사근동10길 16,서울특별시 성동구 사근동 190-11,37.5603507,127.0490812,02-2299-8120,성동경찰서,,Y,2019-06-03
GS25 상왕십리역점,서울특별시,성동구,11200,서울특별시 성동구 왕십리로 지하 374 지하 207-02호(상왕십리역),서울특별시 성동구 하왕십리동946-14,37.566508,127.0307144,,성동경찰서,,Y,2019-06-03
GS25 옥수리버젠점,서울특별시,성동구,11200,서울특별시 성동구 매봉길 13 404호,서울특별시 성동구 옥수동517-12 옥수리버젠,37.54438,127.015497,02-2281-5525,성동경찰서,,Y,2019-06-03
GS25 한양대후문점,서울특별시,성동구,11200,서울특별시 성동구 사근동길 10,서울특별시 성동구 행당1동 16-15,37.5600772,127.0422154,02-2282-1013,성동경찰서,,Y,2019-06-03
GS25 한양원룸점,서울특별시,성동구,11200,서울특별시 성동구 사근동길 42,서울특별시 성동구 사근동 301-3,37.560786,127.045488,02-2298-1014,성동경찰서,,Y,2019-06-03
GS25 행당벽산점,서울특별시,성동구,11200,서울특별시 성동구 행당로6길 2 1층101102호,서울특별시 성동구 금호동1가  종합사회복지관상가동,37.55539336,127.0253734,02-2299-7925,성동경찰서,,Y,2019-06-03
미니스톱 용답중앙점,서울특별시,성동구,11200,서울특별시 성동구 용답9길 7-1,서울특별시 성동구 용답동 152-9,37.565225,127.0507965,02-2215-3680,성동경찰서,,Y,2019-06-03
미니스톱 금호점,서울특별시,성동구,11200,서울특별시 성동구 장터길 31,서울특별시 성동구 금호동3가 1286,37.548451,127.01947,02-2233-8892,성동경찰서,,Y,2019-06-03
미니스톱 성동도선점,서울특별시,성동구,11200,서울특별시 성동구 왕십리로20길 26,서울특별시 성동구 도선동 4-3,37.563972,127.0355689,02-2297-7319,성동경찰서,,Y,2019-06-03
미니스톱 뚝섬점,서울특별시,성동구,11200,서울특별시 성동구 상원8길 1,서울특별시 성동구 성수동1가 13-104,37.548875,127.048282,02-499-3110,성동경찰서,,Y,2019-06-03
미니스톱 디지털타워점,서울특별시,성동구,11200,서울특별시 성동구 성수일로4길 25,서울특별시 성동구 성수동2가 308-4,37.542509,127.0518608,02-2115-8388,성동경찰서,,Y,2019-06-03
미니스톱 성수2가점,서울특별시,성동구,11200,서울특별시 성동구 광나루로 238,서울특별시 성동구 성수동2가 289-1,37.549189,127.056127,02-497-3110,성동경찰서,,Y,2019-06-03
미니스톱 성수역점,서울특별시,성동구,11200,서울특별시 성동구 성수이로 113,서울특별시 성동구 성수동2가 289-10,37.545261,127.0570452,,성동경찰서,,Y,2019-06-03
세븐일레븐 성수영동교점,서울특별시,성동구,11200,서울특별시 성동구 성덕정길 145,서울특별시 성동구 성수동2가 228-1,37.5365,127.059584,02-469-8852,성동경찰서,,Y,2019-06-03
세븐일레븐 왕십리제일점,서울특별시,성동구,11200,서울특별시 성동구 무학봉15가길 7,서울특별시 성동구 하왕십리동 985-9,37.561055,127.0302616,070-7795-6641,성동경찰서,,Y,2019-06-03
세븐일레븐 한양본점,서울특별시,성동구,11200,서울특별시 성동구 마조로5길 8,서울특별시 성동구 행당동 4-27,37.5600872,127.0402266,02-2281-0779,성동경찰서,,Y,2019-06-03
