점포명,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,여성안심지킴이집전화번호,관할경찰서명,지정년도,운영여부,데이터기준일자
CU고려대안암병원점,서울특별시,성북구,30700,서울특별시 성북구 인촌로 73,서울특별시 성북구 안암동5가 126-1,37.5870127,127.0268837,02-922-2228,성북경찰서,2014,Y,2019-09-06
CU동덕우체국점,서울특별시,성북구,30700,서울특별시 성북구 화랑로13길 79-2,서울특별시 성북구하월곡동 73-21,37.6066219,127.0407525,02-942-9552,종암경찰서,2014,Y,2019-09-06
CU성북로데오점,서울특별시,성북구,30700,서울특별시 성북구 동소문로20가길 22,서울특별시 성북구동선동1가 100,37.5925891,127.0177319,02-929-0622,성북경찰서,2014,Y,2019-09-06
CU성북삼선점,서울특별시,성북구,30700,서울특별시 성북구 삼선교로 16길 48,서울특별시 성북구삼선동2가 212-1,37.5861266,127.0108003,02-6012-6209,성북경찰서,2014,Y,2019-09-06
CU성북점,서울특별시,성북구,30700,서울특별시 성북구 성북로8길 4,서울특별시 성북구성북동 184-48,37.5906171,127.0043319,02-747-4634,성북경찰서,2014,Y,2019-09-06
CU성신여대역점,서울특별시,성북구,30700,서울특별시 성북구 동소문로 93,서울특별시 성북구동소문동6가 116,37.5931582,127.0156761,02-922-1017,성북경찰서,2014,Y,2019-09-06
CU정릉청수점,서울특별시,성북구,30700,서울특별시 성북구 보국문로32길 3,서울특별시 성북구정릉동 966-101,37.6172001,127.0025016,02-910-7072,성북경찰서,2014,Y,2019-09-06
CU종암행복점,서울특별시,성북구,30700,서울특별시 성북구 종암로5길 29,서울특별시 성북구종암동 34-6,37.5940509,127.0342589,02-926-4626,종암경찰서,2014,Y,2019-09-06
CU보문좋은점,서울특별시,성북구,30700,서울특별시 성북구 지봉로 175,서울특별시 성북구보문동2가 75-15,37.5850057,127.0181328,02-926-2525,성북경찰서,2014,Y,2019-09-06
GS25고대종암,서울특별시,성북구,30700,서울특별시 성북구 북악산로27길 14,서울특별시 성북구종암동 31-46,37.5920896,127.0343964,02-929-0567,종암경찰서,2014,Y,2019-09-06
GS25길음뉴타운,서울특별시,성북구,30700,서울특별시 성북구 삼양로13길 45,서울특별시 성북구길음동 1281-6,37.6106816,127.0196517,02-929-1315,성북경찰서,2014,Y,2019-09-06
GS25길음본,서울특별시,성북구,30700,서울특별시 성북구 길음로 33,서울특별시 성북구길음동 1284,37.6075197,127.018009,02-918-2212,성북경찰서,2014,Y,2019-09-06
GS25성북동진,서울특별시,성북구,30700,서울특별시 성북구 종암로 54,서울특별시 성북구종암동 10-178,37.5949919,127.0361673,02-913-5557,종암경찰서,2014,Y,2019-09-06
GS25성북한천로,서울특별시,성북구,30700,서울특별시 성북구 한천로 572,서울특별시 성북구석관동 124-34,37.6108434,127.0629783,02-965-5152,종암경찰서,2014,Y,2019-09-06
GS25성신미디어,서울특별시,성북구,30700,서울특별시 성북구 보문로32길 69,서울특별시 성북구동선동2가 142-3,37.5905615,127.0199813,02-923-7978,성북경찰서,2014,Y,2019-09-06
GS25성신여대,서울특별시,성북구,30700,서울특별시 성북구 보문로34길 88,서울특별시 성북구동선동2가 154,37.5912331,127.0201276,,성북경찰서,2014,Y,2019-09-06
GS25성신행운,서울특별시,성북구,30700,서울특별시 성북구 보문로30가길 12,서울특별시 성북구안암동1가 47-2,37.589201,127.0203049,02-923-8449,성북경찰서,2014,Y,2019-09-06
GS25정릉대우,서울특별시,성북구,30700,서울특별시 성북구 보국문로 14,서울특별시 성북구정릉동 413-16,37.6058607,127.0113986,02-909-9010,성북경찰서,2014,Y,2019-09-06
GS25한성대,서울특별시,성북구,30700,서울특별시 성북구 삼선교로10나길 3,서울특별시 성북구삼선동1가 266,37.5865835,127.0095148,02-3675-3921,성북경찰서,2014,Y,2019-09-06
GS25동덕여대사랑,서울특별시,성북구,30700,서울특별시 성북구 화랑로13길 42,서울특별시 성북구하월곡동 21-56,37.6050677,127.0417578,02-915-7705,종암경찰서,2014,Y,2019-09-06
GS25성북석관,서울특별시,성북구,30700,서울특별시 성북구 돌곶이로 46 1층,서울특별시 성북구석관동 301-8,37.6082436,127.0598793,02-959-2273,종암경찰서,2014,Y,2019-09-06
GS25석관미소,서울특별시,성북구,30700,서울특별시 성북구 돌곶이로8바길 39,서울특별시 성북구석관동 67-18,37.6089057,127.0637025,,종암경찰서,2014,Y,2019-09-06
GS25성북장위,서울특별시,성북구,30700,서울특별시 성북구 화랑로33길 39,서울특별시 성북구장위동 66-9,37.6118122,127.0545188,02-912-0177,종암경찰서,2014,Y,2019-09-06
GS25성북희망점,서울특별시,성북구,30700,서울특별시 성북구 삼선교로18나길 26,서울특별시 성북구삼선동5가 73-3,37.5878036,127.0143731,02-929-2527,성북경찰서,2014,Y,2019-09-06
미니스톱상월곡역점,서울특별시,성북구,30700,서울특별시 성북구 화랑로 186,서울특별시 성북구석관동 341-16,37.6073906,127.0510151,02-6348-0830,종암경찰서,2014,Y,2019-09-06
미니스톱장위중앙점,서울특별시,성북구,30700,서울특별시 성북구 장위로 38,서울특별시 성북구장위동 231-590,37.614201,127.0407016,,종암경찰서,2014,Y,2019-09-06
미니스톱장위점,서울특별시,성북구,30700,서울특별시 성북구 장월로 113,서울특별시 성북구장위동 238-122,37.6159414,127.0483295,02-918-2306,종암경찰서,2014,Y,2019-09-06
미니스톱정릉서경대점,서울특별시,성북구,30700,서울특별시 성북구 보국문로16길 48,서울특별시 성북구정릉동 266-390,37.6119839,127.0097602,02-998-8580,성북경찰서,2014,Y,2019-09-06
미니스톱안암역점,서울특별시,성북구,30700,서울특별시 성북구 인촌로 95,서울특별시 성북구안암동5가 100-9,37.586422,127.0299915,02-929-2980,성북경찰서,2014,Y,2019-09-06
세븐일레븐보문점,서울특별시,성북구,30700,서울특별시 성북구 안암로1길 45,서울특별시 성북구보문동7가 23-7,37.5805073,127.0224295,02-927-4203,성북경찰서,2014,Y,2019-09-06
세븐일레븐삼선동점,서울특별시,성북구,30700,서울특별시 성북구 삼선교로23길 21,서울특별시 성북구삼선동4가 204-3,37.5903246,127.013819,02-922-5836,성북경찰서,2014,Y,2019-09-06
세븐일레븐성북구청후문점,서울특별시,성북구,30700,서울특별시 성북구 보문로32길 14,서울특별시 성북구삼선동5가 409,37.589371,127.0173507,02-923-3375,성북경찰서,2014,Y,2019-09-06
세븐일레븐성북성신점,서울특별시,성북구,30700,서울특별시 성북구 보문로34다길 31,서울특별시 성북구동선동3가 212-1,37.5925847,127.0208867,,성북경찰서,2014,Y,2019-09-06
세븐일레븐성신여대정문점,서울특별시,성북구,30700,서울특별시 성북구 보문로34나길 3,서울특별시 성북구동선동3가 234,37.5914376,127.0203356,02-921-7532,성북경찰서,2014,Y,2019-09-06
세븐일레븐월곡삼양점,서울특별시,성북구,30700,서울특별시 성북구 오패산로17길 40,서울특별시 성북구하월곡동 83-28,37.6079243,127.0338384,02-941-7008,종암경찰서,2014,Y,2019-09-06
세븐일레븐정릉대로점,서울특별시,성북구,30700,서울특별시 성북구 정릉로 326,서울특별시 성북구정릉동 16-169,37.6020315,127.0193099,02-942-2840,성북경찰서,2014,Y,2019-09-06
세븐일레븐정릉이수점,서울특별시,성북구,30700,서울특별시 성북구 북악산로 842,서울특별시 성북구정릉동 45-39,37.5991925,127.0177017,02-909-2725,성북경찰서,2014,Y,2019-09-06
세븐일레븐 성북성신여고점,서울특별시,성북구,30700,서울특별시 성북구 동소문로 26가길 40,서울특별시 성북구동선동3가 76,37.5947547,127.0211402,02-6369-4845,성북경찰서,2014,Y,2019-09-06
세븐일레븐세븐일레븐 석관중학교점,서울특별시,성북구,30700,서울특별시 성북구 한천로 509,서울특별시 성북구석관동 405,37.6062279,127.0656478,,종암경찰서,2014,Y,2019-09-06
세븐일레븐세븐일레븐 돈암하늘채점,서울특별시,성북구,30700,서울특별시 성북구 아리랑로 75,서울특별시 성북구 돈암동 644,37.5991068,127.0137948,,성북경찰서,2014,Y,2019-09-06
씨스페이스장위점,서울특별시,성북구,30700,서울특별시 성북구 장월로 89-1,서울특별시 성북구장위동 238-198,37.6138424,127.0487142,02-3292-1999,종암경찰서,2014,Y,2019-09-06
씨스페이스정릉3점,서울특별시,성북구,30700,서울특별시 성북구 솔샘로6길 66,서울특별시 성북구정릉동 372-7,37.608642,127.0077307,02-916-0103,성북경찰서,2014,Y,2019-09-06
