점포명,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,여성안심지킴이집전화번호,관할경찰서명,지정년도,운영여부,데이터기준일자
CU가락극동점,서울특별시,송파구,11710,서울특별시 송파구 동남로18길14,서울특별시 송파구 가락동 194-2,37.494746,127.131939,02-424-8808,가락지구대,2016,Y,2019-05-31
CU문정공원점,서울특별시,송파구,11710,서울특별시 송파구 송이로31길6,서울특별시 송파구 문정동 121-7,37.488341,127.131951,02-3012-8664,문정지구대,2016,Y,2019-05-31
CU방이가락로점,서울특별시,송파구,11710,서울특별시 송파구 가락로42길14,서울특별시 송파구 방이동 162,37.5119987,127.12095,02-412-1213,방이지구대,2016,Y,2019-05-31
CU방이방산점,서울특별시,송파구,11710,서울특별시 송파구 마천로2,서울특별시 송파구 방이동 211-6,37.5102932,127.1212141,02-424-2100,방이지구대,2016,Y,2019-05-31
CU오금공원점,서울특별시,송파구,11710,서울특별시 송파구 마천로138,서울특별시 송파구 오금동 72-9,37.5045019,127.134721,02-431-6772,오금파출소,2014,Y,2019-05-31
CU잠실갤러리아점,서울특별시,송파구,11710,서울특별시 송파구 올림픽로212,서울특별시 송파구 잠실동 40,37.51105,127.0940034,02-421-6103,잠실지구대,2014,Y,2019-05-31
CU잠실현대점,서울특별시,송파구,11710,서울특별시 송파구 백제고분로20길 7-1,서울특별시 송파구 잠실동 337-3,37.5040051,127.086217,02-418-1286,잠실지구대,2014,Y,2019-05-31
GS25마천공원점,서울특별시,송파구,11710,서울특별시 송파구 거마로24길5,서울특별시 송파구 마천동 47-7,37.499875,127.1482013,02-403-7612,마천파출소,2016,Y,2019-05-31
GS25문정바른점,서울특별시,송파구,11710,서울특별시 송파구 새말로8길 27,서울특별시 송파구 문정동 76-1,37.480231,127.126962,02-2043-8359,문정지구대,2016,Y,2019-05-31
GS25문정중앙점,서울특별시,송파구,11710,서울특별시 송파구 문정로4길 10-30,서울특별시 송파구 문정동 61-7 1층,37.485459,127.1245773,02-449-4575,문정지구대,2016,Y,2019-05-31
GS25문정퍼스트점,서울특별시,송파구,11710,서울특별시 송파구 새말로154,서울특별시 송파구 장지동 99-7 1층 34호,37.484325,127.1305978,02-406-0311,문정지구대,2016,Y,2019-05-31
GS25방이도곡점,서울특별시,송파구,11710,서울특별시 송파구 올림픽로32길59,서울특별시 송파구 방이동 107-3,37.512127,127.112776,02-3431-5578,방이지구대,2014,Y,2019-05-31
GS25방이번영점,서울특별시,송파구,11710,서울특별시 송파구 위례성대로18길 28,서울특별시 송파구 방이동 203-4,37.5099999,127.1249231,02-416-3677,방이지구대,2016,Y,2019-05-31
GS25방이시장점,서울특별시,송파구,11710,서울특별시 송파구 백제고분로48길 38,서울특별시 송파구 방이동 122-7,37.510289,127.1169986,02-415-3669,방이지구대,2016,Y,2019-05-31
GS25삼전나루점,서울특별시,송파구,11710,서울특별시 송파구 백제고분로21길34,서울특별시 송파구 삼전동 16,37.5065047,127.091388,02-3431-7113,삼전지구대,2014,Y,2019-05-31
GS25삼전백제점,서울특별시,송파구,11710,서울특별시 송파구 삼학사로13길13,서울특별시 송파구 삼전동 120,37.503175,127.095477,02-6084-8089,삼전지구대,2014,Y,2019-05-31
GS25삼전학교점,서울특별시,송파구,11710,서울특별시 송파구 백제고분로28길41,서울특별시 송파구 삼전동 69-13,37.499283,127.0909501,02-420-4448,삼전지구대,2014,Y,2019-05-31
GS25석촌한빛점,서울특별시,송파구,11710,서울특별시 송파구 가락로5길25 1층,서울특별시 송파구 석촌동 245-27 1층,37.501473,127.101271,02-416-9146,삼전지구대,2014,Y,2019-05-31
GS25송파센타점,서울특별시,송파구,11710,서울특별시 송파구 백제고분로41길9,서울특별시 송파구 송파동 17-10 1층,37.506936,127.1080702,02-413-9815,방이지구대,2014,Y,2019-05-31
GS25송파위례점,서울특별시,송파구,11710,서울특별시 송파구 위례광장로 121,서울특별시 송파구 장지동 393,37.514544,127.106597,02-404-6540,문정지구대,2016,Y,2019-05-31
GS25송파일신점,서울특별시,송파구,11710,서울특별시 송파구 송파대로36가길1,서울특별시 송파구 송파동180-4,37.5009807,127.114575,02-424-1571,방이지구대,2016,Y,2019-05-31
GS25오금후레쉬점,서울특별시,송파구,11710,서울특별시 송파구 동남로23길 29,서울특별시 송파구 오금동 58-10 1층,37.502123,127.1337962,02-403-2526,오금파출소,2016,Y,2019-05-31
GS25위례푸르지오점,서울특별시,송파구,11710,서울특별시 송파구 위례광장로185,서울특별시 송파구 장지동 878 상가동 103호,37.48020939,127.13976,02-404-3544,문정지구대,2016,Y,2019-05-31
GS25잠실경기장점,서울특별시,송파구,11710,서울특별시 송파구 올림픽로 25,서울특별시 송파구 잠실동 10-1,37.5140929,127.0749534,02-413-5770,잠실지구대,2016,Y,2019-05-31
미니스톱방이본점,서울특별시,송파구,11710,서울특별시 송파구 백제고분로48길10,서울특별시 송파구 방이동 112,37.511358,127.114276,02-417-3188,방이지구대,2014,Y,2019-05-31
미니스톱방이올림픽점,서울특별시,송파구,11710,서울특별시 송파구 오금로11길59,서울특별시 송파구 방이동 49-5,37.515261,127.113569,02-417-4518,방이지구대,2014,Y,2019-05-31
미니스톱삼전점,서울특별시,송파구,11710,서울특별시 송파구 백제고분로22길9,서울특별시 송파구 삼전동 46,37.502913,127.089247,02-418-1237,삼전지구대,2014,Y,2019-05-31
미니스톱송파삼성점,서울특별시,송파구,11710,서울특별시 송파구 가락로28길15,서울특별시 송파구 송파동 148-3,37.5058044,127.117623,02-3432-3325,방이지구대,2014,Y,2019-05-31
