점포명,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,여성안심지킴이집전화번호,관할경찰서명,지정년도,운영여부,데이터기준일자
CU  목4동점,서울특별시,양천구,11470,서울특별시 양천구 목동중앙남로5길 46,서울특별시 양천구 목동 728-21,37.53692703,126.864381,02-2648-3547,목4치안센터,2016,Y,2019-11-20
CU  신월가로공원점,서울특별시,양천구,11470,서울특별시 양천구 가로공원로 142,서울특별시 양천구 신월동 94-9,37.53611013,126.831705,02-2696-3324,신월1파출소,2015,Y,2019-11-20
CU  신월장수공원점,서울특별시,양천구,11470,서울특별시 양천구 월정로 15,서울특별시 양천구 신월동 514-17,37.5212,126.843512,02-2605-4595,신월4치안센터,2015,Y,2019-11-20
CU  이대목동병원점,서울특별시,양천구,11470,서울특별시 양천구 안양천로 1071 이대목동병원,서울특별시 양천구 목동 911-1,37.53698302,126.886746,02-2653-8765,목4치안센터,2015,Y,2019-11-20
CU  목동아카데미점,서울특별시,양천구,11470,서울특별시 양천구 오목로 276-6,서울특별시 양천구 목동 408-53,37.524948,126.867868,02-2644-3285,목1지구대,2017,Y,2019-11-20
CU  목동하이페리온점,서울특별시,양천구,11470,서울특별시 양천구 오목로 300 목동 현대 하이페리온2 201동,서울특별시 양천구 목동 961,37.52483112,126.8700215,02-2640-0855,목1지구대,2017,Y,2019-11-20
CU  신정중앙로점,서울특별시,양천구,11470,서울특별시 양천구 오목로37길 22 비동,서울특별시 양천구 신정동 912-11,37.526965,126.856079,02-6338-3663,신정5치안센터,2017,Y,2019-11-20
GS25  목동리치,서울특별시,양천구,11470,서울특별시 양천구 목동중앙북로7가길 61 목동 RICH SQUARE,서울특별시 양천구 목동 613-1,37.549728,126.864175,02-2645-7580,목2치안센터,2015,Y,2019-11-20
GS25  목동스위트,서울특별시,양천구,11470,서울특별시 양천구 목동서로 65 목동가든스위트,서울특별시 양천구 목동 907-5,37.53612452,126.878718,02-2062-3007,목6치안센터,2015,Y,2019-11-20
GS25  신월태진,서울특별시,양천구,11470,서울특별시 양천구 중앙로55길 28,서울특별시 양천구 신월동 457-13,37.52641368,126.846328,02-2603-8020,신월2지구대,2015,Y,2019-11-20
GS25  신정성의,서울특별시,양천구,11470,서울특별시 양천구 중앙로54길 21,서울특별시 양천구 신정동 932-9,37.526519,126.852083,02-2691-7268,신정5치안센터,2015,Y,2019-11-20
세븐일레븐  목동점,서울특별시,양천구,11470,서울특별시 양천구 목동동로 130 목동신시가지아파트14단지,서울특별시 양천구 신정동 329,37.51500071,126.8712376,02-2645-4572,신정1지구대,2015,Y,2019-11-20
세븐일레븐  신정2점,서울특별시,양천구,11470,서울특별시 양천구 신월로 321,서울특별시 양천구 신정동 977-16,37.521704,126.8565155,02-2696-7575,신정5치안센터,2015,Y,2019-11-20
세븐일레븐  신정타운점,서울특별시,양천구,11470,서울특별시 양천구 목동동로 50 목동신시가지아파트12단지 1201동,서울특별시 양천구 신정동 326,37.51209425,126.8602892,02-2061-9105,신정1지구대,2016,Y,2019-11-20
세븐일레븐  신월3호점,서울특별시,양천구,11470,서울특별시 양천구 신월로 150,서울특별시 양천구 신월동 549-1,37.51710396,126.84046,02-2698-5839,신월2지구대,2017,Y,2019-11-20
