점포명,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,여성안심지킴이집전화번호,관할경찰서명,지정년도,운영여부,데이터기준일자
CU 당산중앙점,서울특별시,영등포구,11560,서울특별시 영등포구 당산로49길 6,서울특별시 영등포구 당산동6가 324-5번지,37.535542,126.902427,02-2068-8496,영등포경찰서,2017,Y,2019-08-08
CU 대림디지털점,서울특별시,영등포구,11560,서울특별시 영등포구 디지털로 404,서울특별시 영등포구 대림1동 868-15,37.492568,126.9036604,02-831-7091,영등포경찰서,2017,Y,2019-08-08
CU 문래한신점,서울특별시,영등포구,11560,서울특별시 영등포구 문래로20길 14,서울특별시 영등포구 문래동3가77-2번지 문래공원한신아파트,37.51713467,126.8933186,02-2632-0026,영등포경찰서,2017,Y,2019-08-08
CU 선유도역점,서울특별시,영등포구,11560,서울특별시 영등포구 양평로22길 21,서울특별시 영등포구 양평동5가 106-1번지,37.53980867,126.8946576,02-2062-5266,영등포경찰서,2017,Y,2019-08-08
CU 신길오피스점,서울특별시,영등포구,11560,서울특별시 영등포구 경인로114나길 5-1,서울특별시 영등포구 영등포동1가54번지,37.517311,126.9132052,02-2671-3218,영등포경찰서,2017,Y,2019-08-08
CU 여의도아이비점,서울특별시,영등포구,11560,서울특별시 영등포구 국제금융로 86,서울특별시 영등포구 여의도동 43-4번지 롯데캐슬아이비,37.52020495,126.9318022,02-780-9227,영등포경찰서,2017,Y,2019-08-08
CU 여의동산점,서울특별시,영등포구,11560,서울특별시 영등포구 여의대방로417,서울특별시 영등포구 여의도동41-2번지 대교상가 비,37.521033,126.9343081,02-783-8400,영등포경찰서,2017,Y,2019-08-08
GS25 당산양남점,서울특별시,영등포구,11560,서울특별시 영등포구 선유동1로 12-1,서울특별시 영등포구 당산동2가 111,37.52320971,126.891845,02-2636-7211,영등포경찰서,2017,Y,2019-08-08
GS25 대림본점,서울특별시,영등포구,11560,서울특별시 영등포구 디지털로54가길 2,서울특별시 영등포구 대림2동 1024-11,37.48881902,126.902996,02-848-5070,영등포경찰서,2017,Y,2019-08-08
GS25 대림성모점,서울특별시,영등포구,11560,서울특별시 영등포구 시흥대로 663,서울특별시 영등포구 대림동 962-4 제3호,37.49100318,126.9076485,02-834-9491,영등포경찰서,2017,Y,2019-08-08
GS25 대림역점,서울특별시,영등포구,11560,서울특별시 영등포구 대림로29길 43,서울특별시 영등포구 대림3동 808-26,37.493751,126.895409,02-832-5931,영등포경찰서,2017,Y,2019-08-08
GS25 대림으뜸점,서울특별시,영등포구,11560,서울특별시 영등포구 도림로41길 6,서울특별시 영등포구 대림3동 710,37.494474,126.898262,02-848-1964,영등포경찰서,2017,Y,2019-08-08
GS25 동여의점,서울특별시,영등포구,11560,서울특별시 영등포구 여의대방로65길 23,서울특별시 영등포구 여의도동 45-13외1 필지포레스텔빌딩101,37.5201347,126.9288023,02-785-2524,영등포경찰서,2017,Y,2019-08-08
