점포명,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,여성안심지킴이집전화번호,관할경찰서명,지정년도,운영여부,데이터기준일자
CU 숙대도서관점,서울특별시,용산구,11170,서울특별시 용산구 청파로43길 70,서울특별시 용산구 청파동3가 114-3번지,37.5441271,126.966749,02-719-5043,원효지구대,,Y,2019-07-31
CU 신용산점,서울특별시,용산구,11170,서울특별시 용산구 한강대로 142 108호,서울특별시 용산구 한강로2가 93-4번지 108호,37.5318558,126.9708042,02-795-0058,한강로파출소,,Y,2019-07-31
CU 용산보광점,서울특별시,용산구,11170,서울특별시 용산구 장문로 119,서울특별시 용산구 보광동 22-1번지,37.5270638,127.002441,02-794-2124,보광파출소,,Y,2019-07-31
CU 용산신창점,서울특별시,용산구,11170,서울특별시 용산구 원효로35길 50,서울특별시 용산구 신창동 59-4번지,37.535262,126.955604,02-702-0761,원효지구대,,Y,2019-07-31
CU 용산원효로점,서울특별시,용산구,11170,서울특별시 용산구 원효로 73,서울특별시 용산구 원효로4가 117-8번지,37.532734,126.952116,02-704-4827,원효지구대,,Y,2019-07-31
CU 용산자이점,서울특별시,용산구,11170,서울특별시 용산구 삼개로 60,서울특별시 용산구 청암동 181,37.534998,126.9474629,02-711-5386,원효지구대,,Y,2019-07-31
CU 용산한강로점,서울특별시,용산구,11170,서울특별시 용산구 한강대로43길 13 한강로대우아이빌,서울특별시 용산구 한강로2가 2-11번지 한강로대우아이빌,37.5314944,126.9691335,02-795-4163,용산역파출소,,Y,2019-07-31
CU 용산한강진,서울특별시,용산구,11170,서울특별시 용산구 이태원로54길 11,서울특별시 용산구 한남동 682-23,37.5357289,127.000959,02-749-1451,한남파출소,,Y,2019-07-31
CU 용산한남점,서울특별시,용산구,11170,서울특별시 용산구 한남대로 158,서울특별시 용산구 한남동 795-2번지 102호,37.542397,127.002651,02-749-3930,한남파출소,,Y,2019-07-31
CU 용산해방촌점,서울특별시,용산구,11170,서울특별시 용산구 신흥로7길 1,서울특별시 용산구 용산동2가 39-16번지,37.541873,126.987162,02-749-4634,용중지구대,,Y,2019-07-31
CU 원효대로점,서울특별시,용산구,11170,서울특별시 용산구 원효로 154,서울특별시 용산구 원효로3가 51-7번지,37.53447,126.9603396,02-702-7773,원효지구대,,Y,2019-07-31
CU 원효로2가점,서울특별시,용산구,11170,서울특별시 용산구 원효로58길 28,서울특별시 용산구 원효로2가 61-7번지,37.534914,126.963302,02-717-7539,원효지구대,,Y,2019-07-31
CU 이태원햇살점,서울특별시,용산구,11170,서울특별시 용산구 녹사평대로40나길 53,서울특별시 용산구 이태원동 368-4번지,37.5368639,126.988708,02-790-9413,이태원파출소,,Y,2019-07-31
CU 이태원힐점,서울특별시,용산구,11170,서울특별시 용산구 우사단로4길 1,서울특별시 용산구 이태원동 20-5번지,37.531482,126.9967191,02-790-6455,이태원파출소,,Y,2019-07-31
CU 한강로벽산점,서울특별시,용산구,11170,서울특별시 용산구 한강대로43길 8 벽산메가트리움 104동 201호,서울특별시 용산구 한강로2가 2-8번지 벽산메가트리움 104동 201호,37.5321357,126.9697278,02-3215-8989,용산역파출소,,Y,2019-07-31
CU 동부이촌점,서울특별시,용산구,11170,서울특별시 용산구 이촌로 248  한강맨숀,서울특별시 용산구 이촌동300-23번지 한강맨숀,37.5178481,126.972961,02-792-2686,이촌파출소,,Y,2019-07-31
GS25 용산그린,서울특별시,용산구,11170,서울특별시 용산구 두텁바위로 13,서울특별시 용산구 갈월동 53-19,37.5454732,126.973901,02-771-3583,용중지구대,,Y,2019-07-31
GS25 이촌2호점,서울특별시,용산구,11170,서울특별시 용산구 이촌로72길 62,서울특별시 용산구 이촌동 302-17,37.5177911,126.970744,02-790-2533,이촌파출소,,Y,2019-07-31
GS25 이촌1호점,서울특별시,용산구,11170,,서울특별시 용산구 이촌동 362-1번지,37.515501,126.980142,02-790-2535,이촌파출소,,Y,2019-07-31
