점포명,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,여성안심지킴이집전화번호,관할경찰서명,지정년도,운영여부,데이터기준일자
CU 선정송이,서울특별시,은평구,11380,서울특별시 은평구 서오릉로20길 20-1 선정쉐르빌,,37.61720757,126.9095009,120,은평경찰서,2014,Y,2019-09-30
CU 응암에이스점,서울특별시,은평구,11380,서울특별시 은평구 가좌로7다길 7,,37.58529456,126.9184918,120,은평경찰서,2014,Y,2019-09-30
CU 은평구산점,서울특별시,은평구,11380,서울특별시 은평구 연서로21길 3,,37.6142152,126.9172354,120,은평경찰서,2014,Y,2019-09-30
GS25 구산가온,서울특별시,은평구,11380,서울특별시 은평구 서오릉로17길 17 1층,,37.61351208,126.9083881,120,은평경찰서,2014,Y,2019-09-30
GS25 녹번,서울특별시,은평구,11380,서울특별시 은평구 통일로 639,,37.60385832,126.9346336,120,은평경찰서,2014,Y,2019-09-30
GS25 불광래미안,서울특별시,은평구,11380,서울특별시 은평구 불광동 1-200 북한산래미안상가동지층 1,,37.61097566,126.937545,120,은평경찰서,2014,Y,2019-09-30
GS25 불광역,서울특별시,은평구,11380,서울특별시 은평구 통일로 750,,37.61233716,126.9286683,120,은평경찰서,2014,Y,2019-09-30
GS25 역촌진흥,서울특별시,은평구,11380,서울특별시 은평구 진흥로1길 49 1층,,37.60483507,126.9181753,120,은평경찰서,2014,Y,2019-09-30
GS25 연신내제일,서울특별시,은평구,11380,서울특별시 은평구 연서로26길 11 유성빌딩,,37.61685241,126.9208672,120,은평경찰서,2014,Y,2019-09-30
GS25 은평보람,서울특별시,은평구,11380,서울특별시 은평구 연서로21길 24-1,,37.61535009,126.9152254,120,은평경찰서,2014,Y,2019-09-30
GS25 은평영화,서울특별시,은평구,11380,서울특별시 은평구 연서로27길 14 영화빌딩,,37.61815075,126.9180053,120,은평경찰서,2014,Y,2019-09-30
GS25 응암역,서울특별시,은평구,11380,서울특별시 은평구 연서로 1 리더스파크,,37.5992858,126.9153452,120,은평경찰서,2014,Y,2019-09-30
GS25 불광타운,서울특별시,은평구,11380,서울특별시 은평구 연서로 289,,37.62164882,126.9261334,120,은평경찰서,2014,Y,2019-09-30
GS25 은평불광,서울특별시,은평구,11380,서울특별시 은평구 연서로 274 1층?,,37.62057616,126.9250953,120,은평경찰서,2014,Y,2019-09-30
GS25 연신내으뜸점,서울특별시,은평구,11380,서울특별시 은평구 연서로28길 6,,37.61813875,126.9206334,120,은평경찰서,2014,Y,2019-09-30
GS25 신사드림,서울특별시,은평구,11380,서울특별시 은평구 갈현로4길 26 웅자하우스,,37.60112098,126.9130649,120,은평경찰서,2014,Y,2019-09-30
GS25 구파발어울림,서울특별시,은평구,11380,서울특별시 은평구 진관3로 15-35,,37.64256148,126.9174581,120,은평경찰서,2014,Y,2019-09-30
GS25 은평뉴타운,서울특별시,은평구,11380,서울특별시 은평구 진관2로 77 은평뉴타운 우물골,,37.63433061,126.9266083,120,은평경찰서,2014,Y,2019-09-30
GS25 숭실학원,서울특별시,은평구,11380,서울특별시 은평구 은평터널로7길 2 상가 지하 2호,,37.59281423,126.9063122,120,은평경찰서,2014,Y,2019-09-30
GS25 갈현파크,서울특별시,은평구,11380,서울특별시 은평구 갈현로25길 14 갈현파크빌,,37.61752452,126.9135854,120,은평경찰서,2014,Y,2019-09-30
GS25 불광힐스테이트,서울특별시,은평구,11380,서울특별시 은평구 통일로 796 북한산 힐스테이트 7차,,37.61633833,126.9257566,120,은평경찰서,2014,Y,2019-09-30
GS25 은평진관,서울특별시,은평구,11380,서울특별시 은평구 진관4로 37 101호,,37.64447119,126.9250688,120,은평경찰서,2014,Y,2019-09-30
미니스톱 연신내동명점,서울특별시,은평구,11380,서울특별시 은평구 연서로28길 20-1 1층,,37.61704117,126.9218046,120,은평경찰서,2014,Y,2019-09-30
세븐일레븐 불광중앙점,서울특별시,은평구,11380,서울특별시 은평구 통일로78길 12-4,,37.61794307,126.9238758,120,은평경찰서,2014,Y,2019-09-30
세븐일레븐 연신내점,서울특별시,은평구,11380,서울특별시 은평구 통일로 822,,37.61731545,126.9232279,120,은평경찰서,2014,Y,2019-09-30
세븐일레븐 응암중앙점 B,서울특별시,은평구,11380,서울특별시 은평구 가좌로7길 6 청춘빌딩,,37.58703964,126.9201423,120,은평경찰서,2014,Y,2019-09-30
세븐일레븐 연신내행복점,서울특별시,은평구,11380,서울특별시 은평구 통일로80길 9,,37.62008512,126.9216361,120,은평경찰서,2014,Y,2019-09-30
세븐일레븐 구산연서로점,서울특별시,은평구,11380,서울특별시 은평구 연서로9길 14,,37.60759493,126.9135598,120,은평경찰서,2014,Y,2019-09-30
세븐일레븐 응암제일점,서울특별시,은평구,11380,서울특별시 은평구 가좌로10길 29,,37.59356018,126.9168663,120,은평경찰서,2014,Y,2019-09-30
세븐일레븐 신사행운점,서울특별시,은평구,11380,서울특별시 은평구 신사동 12-15,,37.599526,126.90743,120,은평경찰서,2014,Y,2019-09-30
