점포명,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,여성안심지킴이집전화번호,관할경찰서명,지정년도,운영여부,데이터기준일자
cu남대문로5가점,서울특별시,중구,11020,서울특별시 중구 세종대로 8-1(남대문로5가),,37.5575147,126.9733873,,서울역,,Y,2019-05-06
cu남대문점,서울특별시,중구,11020,서울특별시 중구 남대문로 17(남대문로3가),,37.5611268,126.9776332,,태평로,,Y,2019-05-06
cu명동화이자점,서울특별시,중구,11020,서울특별시 중구 퇴계로 114-1(회현동3가),,37.5605063,126.9843513,,명동,,Y,2019-05-06
cu순화점,서울특별시,중구,11020,서울특별시 중구 통일로4길 20(순화동),,37.56436232,126.9689144,,서소문,,Y,2019-05-06
cu중구필동점,서울특별시,중구,11020,서울특별시 중구 서애로21 1층,,37.5603603,126.997415,,중부(충무),,Y,2019-05-06
cu중구회현점,서울특별시,중구,11020,서울특별시 중구 퇴계로 70(회현동1가),,37.5591691,126.9798501,,회현,,Y,2019-05-06
cu중구흥인점,서울특별시,중구,11020,서울특별시 중구 다산로 265(흥인동),,37.5666272,127.0158566,,중부(광희),,Y,2019-05-06
cu청구대로점,서울특별시,중구,11020,서울특별시 중구 다산로 175(신당동),,37.5592388,127.012848,,중부(약수),,Y,2019-05-06
cu청구역점,서울특별시,중구,11020,서울특별시 중구 청구로 94(신당동),,37.5609331,127.0120265,,중부(광희),,Y,2019-05-06
GS25북창,서울특별시,중구,11020,서울특별시 중구 남대문로1길 26(북창동),,37.5621584,126.9775104,,태평로,,Y,2019-05-06
GS25신당삼성,서울특별시,중구,11020,서울특별시 중구 청구로1길 23 삼성@ 2동B 101호,,37.5581633,127.0179679,,중부(약수),,Y,2019-05-06
미니스톱서울특별시시청역점,서울특별시,중구,11020,서울특별시 중구 서소문로 135(서소문동),,37.5640071,126.9758269,,서소문,,Y,2019-05-06
미니스톱남산점,서울특별시,중구,11020,서울특별시 중구 퇴계로20길 32(남산동2가),,37.5586687,126.9858692,,명동,,Y,2019-05-06
미니스톱신당점,서울특별시,중구,11020,서울특별시 중구 동호로10길 21(신당동),,37.5549202,127.0117754,,중부(약수),,Y,2019-05-06
미니스톱약수역점,서울특별시,중구,11020,서울특별시 중구 다산로 110(신당동),,37.5535103,127.0101938,,중부(약수),,Y,2019-05-06
미니스톱동대후문점,서울특별시,중구,11020,서울특별시 중구 서애로 12(충무로5가),,37.5612221,126.9979886,,중부(충무),,Y,2019-05-06
세븐일레븐남대문본점,서울특별시,중구,11020,서울특별시 중구 세종대로 11(남대문로5가),,37.5581346,126.9730743,,서울역,,Y,2019-05-06
세븐일레븐남대문점,서울특별시,중구,11020,서울특별시 중구 세종대로 30(남대문로5가),,37.5589722,126.9749032,,서울역,,Y,2019-05-06
세븐일레븐남산쌍용점,서울특별시,중구,11020,서울특별시 중구 소공로 46(회현동2가 쌍용남산플래티넘) B 102호,,37.5593701,126.983201,,명동,,Y,2019-05-06
세븐일레븐동대입구역점,서울특별시,중구,11020,서울특별시 중구 동호로25길 3(장충동2가),,37.5588891,127.0026479,,중부(장충),,Y,2019-05-06
세븐일레븐명동본점,서울특별시,중구,11020,서울특별시 중구 명동9길 23(을지로2가) 한양빌딩 103호,,37.5648596,126.9844949,,명동,,Y,2019-05-06
세븐일레븐명동성당점,서울특별시,중구,11020,서울특별시 중구 명동길 60(명동2가),,37.5636992,126.9857659,,명동,,Y,2019-05-06
세븐일레븐명동포스트타워점,서울특별시,중구,11020,서울특별시 중구 충무로1가소공로 66 101호,,37.5610419,126.9819898,,명동,,Y,2019-05-06
세븐일레븐서소문점 B,서울특별시,중구,11020,서울특별시 중구 서소문로 101(서소문동) 대건빌딩 101,,37.5628291,126.9723636,,서소문,,Y,2019-05-06
세븐일레븐중구스카이점,서울특별시,중구,11020,서울특별시 중구 퇴계로 139(충무로2가) 청방빌딩 1층,,37.5613547,126.9872352,,명동,,Y,2019-05-06
세븐일레븐중구초동점,서울특별시,중구,11020,서울특별시 중구 마른내로 41 초동빌딩,,37.5645019,126.9923903,,중부(을3),,Y,2019-05-06
세븐일레븐중국대사관점,서울특별시,중구,11020,서울특별시 중구 명동2가 남대문로 68  1층2층,,37.5630705,126.9822429,,명동,,Y,2019-05-06
세븐일레븐충무퇴계점,서울특별시,중구,11020,서울특별시 중구 퇴계로 209(충무로4가),,37.561614,126.9950156,,중부(충무),,Y,2019-05-06
GS25숭례문점,서울특별시,중구,11020,서울특별시 중구 남대문로 7 (남대문로4가 17-10 흥국생명남대문2호별관1층),,37.5608094,126.9765577,,태평로,,Y,2019-05-06
GS25버티고개역점,서울특별시,중구,11020,서울특별시 중구 동호로17길 295 1층 일부 (신당동 366-440),,37.54837531,127.0069437,,중부(약수),,Y,2019-05-06
GS25청계천패션점,서울특별시,중구,11020,서울특별시 중구 청계천로 318 가동 1층 53호 (신당동 217-92 동평화의류상가),,37.5694218,127.0132185,,중부(광희),,Y,2019-05-06
CU중구약수점,서울특별시,중구,11020,서울특별시 중구 다산로14길 18(신당동),,37.555716,127.0123354,,중부(약수),,Y,2019-05-06
세븐일레븐 무교점,서울특별시,중구,11020,서울특별시 중구 무교로 12(무교동 정오빌딩),,37.5670039,126.9793617,,태평로,,Y,2019-05-06
세븐일레븐 충정로2호점,서울특별시,중구,11020,서울특별시 중구 중림로 10 삼성아파트상가 1층 103호,,37.5581419,126.9652488,,중림,,Y,2019-05-06
세븐일레븐 남산2호점,서울특별시,중구,11020,서울특별시 중구 소파로 142(예장동),,37.5593871,126.9882216,,중부(충무),,Y,2019-05-06
세븐일레븐 중구황학동점,서울특별시,중구,11020,서울특별시 중구 황학동 마장로 89,,37.5684513,127.0197979,,중부(광희),,Y,2019-05-06
세븐일레븐 광희이비스점,서울특별시,중구,11020,서울특별시 중구 광희동2가 퇴계로 330-1,,37.5641152,127.0083352,,중부(광희),,Y,2019-05-06
