점포명,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,여성안심지킴이집전화번호,관할경찰서명,지정년도,운영여부,데이터기준일자
CU 면목중앙점,서울특별시,중랑구,11070,서울특별시 중랑구 면목로56가길 8,서울특별시 중랑구 면목동 409-47,37.5844605,127.0889145,02-2207-6103,서울중랑경찰서,,Y,2019-09-18
CU 면목행복점,서울특별시,중랑구,11070,서울특별시 중랑구 겸재로50길 9,서울특별시 중랑구 면목동 104-14,37.5886654,127.0909897,02-495-4196,서울중랑경찰서,,Y,2019-09-18
CU 상봉듀오트리스점,서울특별시,중랑구,11070,,서울특별시 중랑구 상봉2동 79-2,37.5978032,127.0923212,02-2273-3551,서울중랑경찰서,,Y,2019-09-18
CU 망우행복점,서울특별시,중랑구,11070,서울특별시 중랑구 용마산로118길 130,서울특별시 중랑구 망우동 135-4,37.600864,127.1076756,02-434-7428,서울중랑경찰서,,Y,2019-09-18
CU 묵동먹골역점,서울특별시,중랑구,11070,서울특별시 중랑구 공릉로2가길 28,서울특별시 중랑구 묵동172-26번지,37.613292,127.0788287,02-948-9652,서울중랑경찰서,,Y,2019-09-18
GS25 망우금호,서울특별시,중랑구,11070,서울특별시 중랑구 망우로 504 1층,서울특별시 중랑구 망우동 133-7 1층,37.6002329,127.1079912,080-855-5525,서울중랑경찰서,,Y,2019-09-18
GS25 망우으뜸,서울특별시,중랑구,11070,서울특별시 중랑구 망우로68길 56,서울특별시 중랑구 망우동 364-39,37.5974471,127.1008879,02-435-3664,서울중랑경찰서,,Y,2019-09-18
GS25 망우제일,서울특별시,중랑구,11070,서울특별시 중랑구 용마산로112길 37,서울특별시 중랑구 망우동 366-4,37.5986771,127.1025649,02-433-8896,서울중랑경찰서,,Y,2019-09-18
GS25 망우한마음,서울특별시,중랑구,11070,서울특별시 중랑구 용마산로99길 9,서울특별시 중랑구 망우동 531-24,37.5918396,127.097419,02-433-5972,서울중랑경찰서,,Y,2019-09-18
GS25 면목서일,서울특별시,중랑구,11070,서울특별시 중랑구 용마산로94길 31,서울특별시 중랑구 면목동 46-12,37.5888318,127.0985842,02-434-7118,서울중랑경찰서,,Y,2019-09-18
GS25 면목한신,서울특별시,중랑구,11070,서울특별시 중랑구 겸재로3길 54,서울특별시 중랑구 면목동 178-30,37.5883513,127.0767493,02-436-6480,서울중랑경찰서,,Y,2019-09-18
GS25 봉화산역,서울특별시,중랑구,11070,서울특별시 중랑구 신내로 211,서울특별시 중랑구 신내동 646,37.6163947,127.0926039,02-3422-6608,서울중랑경찰서,,Y,2019-09-18
GS25 사가정스타,서울특별시,중랑구,11070,서울특별시 중랑구 면목로45길 8,서울특별시 중랑구 면목동 497-16,37.5817906,127.088082,02-493-5992,서울중랑경찰서,,Y,2019-09-18
GS25 중랑동부,서울특별시,중랑구,11070,서울특별시 중랑구 신내로7가길 35,서울특별시 중랑구 상봉동 495,37.60227892,127.0938704,02-994-0786,서울중랑경찰서,,Y,2019-09-18
GS25 중랑신내,서울특별시,중랑구,11070,서울특별시 중랑구 봉화산로56길 60,서울특별시 중랑구 신내동 410-9,37.6061038,127.0981131,02-436-2566,서울중랑경찰서,,Y,2019-09-18
GS25 중랑팰리스점,서울특별시,중랑구,11070,서울특별시 중랑구 망우로 312-1,서울특별시 중랑구 상봉동 101-2,37.596527,127.0871344,02-432-9319,서울중랑경찰서,,Y,2019-09-18
GS25 용마파크,서울특별시,중랑구,11070,서울특별시 중랑구 용마산로 248,서울특별시 중랑구 면목동 1339,37.5751565,127.0884742,02-433-0417,서울중랑경찰서,,Y,2019-09-18
